unit_id,unit_measure,country_id,region_id,city_id,food_id,network_id,type_id,month,year,price
50,Libra,57.0,947.0225563909775,842.9924812030075,306.35714285714283,67.0,14.0,6.586466165413534,2014.7706766917292,7363.581421428574
51,Day,153.55015405682985,9361.023622047243,1087.9691886340295,354.3613488531325,65.13984936665526,15.0,6.405169462512838,2014.8883943854844,8038.558906419053
52,1.5 KG,238.0,2839.4980145598943,1353.3557246856387,279.01191264063533,78.0,15.0,6.515552614162806,2014.958967571145,75.4696945400397
55,Course,71.57236842105263,1110.7861842105262,1067.578947368421,304.0,28.20394736842105,15.0,6.1225328947368425,2012.7113486842106,666.3608647203945
56,USD/LCU,2886.6154431342716,2813.9532141498667,935.6770635222518,308.7063522251807,44.0874857360213,15.0,6.206162038798022,2014.3883605933815,1569.8037934956246
57,2 KG,802.9259927797834,697164.7418772563,1872.3610108303249,92.0,69.61552346570397,15.0,6.231046931407942,2015.6480144404331,12.359008844765347
58,Month,57.0,948.0,840.0,465.0,67.0,15.0,6.5,2015.0,653094.75
61,Head,187.26837060702874,10139.42066027689,1476.1938232161874,339.15228966986155,64.17571884984025,15.0,6.89989350372737,2015.6336528221511,14476.698687965922
63,200 G,141.0,1799.2222222222222,1696.900462962963,320.0,90.0,15.0,6.869212962962963,2014.5034722222222,1754.7263049768544
65,160 G,140.1655982905983,1792.184829059829,1726.594017094017,319.0,87.57264957264957,15.0,6.619658119658119,2014.693376068376,1824.2129709401722
67,5 L,141.0,1799.1351744186047,1697.1220930232557,184.0,90.0,15.0,6.463662790697675,2014.1933139534883,12073.147415843026
69,30 pcs,131.54153182308522,1700.7734627831715,1703.7184466019417,92.0,90.06903991370011,15.0,6.877022653721683,2014.571736785329,5177.345919956848
71,300 G,130.0,1706.4507042253522,2088.478873239437,112.0,58.0,15.0,3.535211267605634,2017.0,4.9581690140845085
72,185 G,238.0,2839.25636672326,1416.8285229202038,322.0,78.0,15.0,5.910016977928692,2016.4889643463498,430.0138651952462
74,125 G,212.2680412371134,2568.0721649484535,1463.3144329896907,323.4192439862543,79.4295532646048,15.0,5.7714776632302405,2016.4329896907216,272.483676975945
75,Packet,220.2839116719243,2653.294952681388,1446.935331230284,460.5205047318612,78.98422712933754,15.0,6.0015772870662465,2016.4116719242902,71.44374337539432
76,18 KG,269.0,15724.782608695652,1333.2173913043478,341.0,31.0,15.0,7.0,2016.625,3324.4510869565215
77,3 L,999.0,900014.9160839161,2001.6783216783217,362.0,73.0,15.0,6.613053613053613,2015.6013986013986,23.00091025641026
81,10 pcs,209.51989301237043,2538.2547642928785,1175.9669007021064,94.61718488799733,69.23069207622869,15.0,6.409896355733868,2013.4904714142426,33.193946004680804
83,10 KG,238.0,2839.504686373468,1372.1160778658975,341.0,78.0,15.0,6.3943763518385,2015.1297764960345,3512.9374549387167
86,11.5 KG,33.0,40445.75,308.75,127.65060240963855,46.0,15.0,6.457831325301205,2013.3614457831325,43.41518072289157
87,5 KG,141.0,1799.310843373494,1696.4602409638553,58.0,90.0,15.0,6.609638554216867,2015.5036144578314,6222.632484337348
90,12 KG,249.0,1588.8695652173913,1702.4782608695652,341.0,88.0,15.0,5.543478260869565,2016.4347826086957,70.57698478260872
95,168 G,40765.0,0.0,226.0,319.0,38.0,15.0,6.708333333333333,2016.2916666666667,5.973333333333332
96,350 G,108.0,1413.0,106.0,112.0,24.0,15.0,6.294117647058823,2016.4705882352941,23.72222222222222
97,115 G,103.0,0.0,200.0,185.0,82.0,15.0,6.5,2012.0,0.37583333333333335
98,750 G,242.0,2962.0,2048.0,77.0,28.0,15.0,6.818181818181818,2015.1818181818182,2.6196969696969696
99,1.5 L,242.0,2962.0,2048.0,283.0,28.0,15.0,6.447368421052632,2015.421052631579,1.9342105263157894
100,Cubic meter,955.0975609756098,847509.4682926829,2004.7170731707317,489.23414634146343,73.8780487804878,15.0,6.490243902439024,2015.690243902439,3.515412926829281
101,kWh,249.0,3045.3333333333335,2054.0,491.0,88.0,15.0,4.5,2017.0,0.4118000000000001
102,Package,249.0,3045.3333333333335,2054.0,492.0,88.0,15.0,4.5,2017.0,4.865899999999999
103,1.8 L,130.0,1706.5,2088.5,96.0,58.0,15.0,5.0,2017.0,1.933944444444445
